0-##221119 @!HUGH-DOWNS ,"[6, "" Good evening . I 'm Hugh Downs ""]"
"21- FLOYD HANNAH , Convicted Murderer ","[4, ' I was born 1911 . ']"
22-Ms MARSH ,"[1, ' Nineteen-eleven . ']"
23-Mr HANNAH ,"[3, ' Seventh of April ']"
24- BOB BROWN ,"[22, '  Elderly men looking at tokens from the past , tangible things that remind them of the lives they once led outside of prison . ']"
25-Ms MARSH ,"[6, ' Fragile , fragile . How about you , Pop . ']"
26-Mr HANNAH ,"[130, "" Yeah , I can see through them .BROWN  During his 78 years , Floyd Hannah has seen and done a lot of things , some of which he should n't have . Only two and a half years ago , he was convicted of second degree murder and sentenced to life in prison . Chad Sawyer , 74 years old . He 's serving five years for shooting firearms at an occupied apartment building . William           degree murder conviction . George Biggars , 73 , convicted of second degree murder , sentenced to a minimum of 45 years . And finally , Ardell Taylor . He 's 80 years old and is looking forward to getting out as soon as he finishes his six years for assault with a deadly weapon . For almost every man in this room , being in prison is a brand new experience . ""]"
27-Ms MARSH ,"[57, "" Hardened criminals . No , I do n't think they 're hardened criminals . They 're human beings .BROWN  Libby Marsh is one of two social workers here at North Carolina 's McCain Prison Hospital , but her specialty is working with elderly inmates . She helps them to reconcile their past history with their present imprisonment and to face the future . ""]"
28-Ms MARSH ,"[116, "" They 're here to pull the sentence , serve their time and go back into the community , hopefully .BROWN  Ten years ago , there were approximately 9,000 inmates over the age of 55 in this country 's state and federal prisons . Today , that number           jump as high as 100,000 in the next ten years . on camera Older offenders are frequently portrayed as people who write bad checks or shoplift to survive or gain attention . That may be the most common picture , but in fact , there 's been a substantial increase in the number of serious violent crimes committed by the elderly . And many have spent a lifetime with no previous criminal record . interviewing And what did you do . ""]"
29-Mr TAYLOR ,"[9, ' Shot a woman .BROWN Why did you shoot her . ']"
30-Mr TAYLOR ,"[84, "" Well , I ought not to have done it , but temptation will ruin you . Pressure build up on you like a creek .BROWN  When Ardell became too old to continue farming , he moved in with his son and daughter-in law , but as he puts it , his daughter-in-law just would n't stay out of his business . On the day she told him to eat just one meal a day instead of two , he shot her . She survived , he went to jail . interviewing Up to           your life . ""]"
31-Mr TAYLOR ,"[12, "" No .BROWN And yet , you could n't stop yourself from shooting someone . ""]"
32-Mr TAYLOR ,"[11, ' No .BROWN Do you feel sorry that you did it , now . ']"
33-Mr TAYLOR ,"[28, "" No .BROWN  Marion Moss is Ardell 's social worker . She says his motives for committing a violent crime are typical of many elderly inmates she 's worked with ""]"
"34- MARION MOSS , Social Worker , McCain Prison Hospital ","[113, "" He was an older man whose thinking processes are a little bit slower and this was a younger individual who was dominating him , who was interfering in his life and he needed to get rid of it . If we think about ourselves feeling trapped with no way to turn , we do the very first thing that comes to our mind that 's necessary to survive or to get out of the situation we 're trapped in .BROWN Are there any studies that indicate why some of these older people are showing up in prison for the first time . .Dr BERT ROSEFIELD , Superintendent , McCain Prison Hospital           Rosefield , a psychologist , is the head of McCain . ""]"
35-Dr ROSEFIELD ,"[139, "" There 's speculation that they ca n't handle the pressures of growing old poor , frequently , though that 's not exclusively ; that they have difficulty coping with domineering younger people in the family . Most of these people who , as you say , snap and do something , do it within their family or neighbor groups , within a close circle of people . For whatever reason , they just ca n't cope .BROWN  This is not the first time Floyd Hannah has been in prison . Back in 1934 , he burglarized a bank vault and went to jail for three years . And Floyd freely admits to making illegal moonshine whiskey in the mountains of North Carolina and Tennessee . But he did n't commit his first violent crime until two years ago when he found out his wife was cheating on him . interviewing Why are you here . ""]"
36-Mr HANNAH ,"[6, ' Murder .BROWN What did you do . ']"
37-Mr HANNAH ,"[67, "" Shot my wife .BROWN And why did you           doing me wrong . Would n't listen to me . Told me , she says she was three times seven , she 'd do what she pleased . And says ,  You ca n't stop me .  I says ,  Yes , I can stop you .  So I stopped her that night . She did n't do it no more .BROWN Do you feel bad about any of that . ""]"
38-Mr HANNAH ,"[31, "" No , I do n't feel bad about it .BROWN Do you think if you were out again that you could get mad enough to do the same thing you did before . ""]"
39-Mr HANNAH ,"[21, "" I 'd take care of old Number One .BROWN So it 's possible that you could do the same thing again . ""]"
40-Mr HANNAH ,"[1, ' Yeah . ']"
41-Ms MARSH ,"[110, "" Floyd is a mountain man . He lives by the rules of the mountain , not by society 's rules . If he tells you something , then his word is his bond . And he told his wife ,  Do n't you step out on           killed her . No , it does n't make it right . It makes it right to him , though .BROWN  And even though Floyd Hannah has now been punished by society 's rules , it 's not difficult to wonder , once you 're inside , whether he feels like a jailed man . Except for the fences , McCain looks more like a nursing home than a prison . interviewing Does this feel like a prison to you . ""]"
42-Mr HANNAH ,"[9, ' Well , yeah , it feels pretty well like a prison . ']"
43-Dr ROSEFIELD ,"[115, "" It 's definitely a prison , but we do n't want it to look like a prison and that 's not necessary for the older inmate . There 's nothing to be gained by having a very rigid , formal , authoritarian approach and the people do n't need it . You can have a far kinder approach to them and still get the job done . We are responsible first to the public to keep them here , but after that , there are a lot of things you can           some McCain inmates actually get a glimpse of the outside world , a field trip . It 's a special occasion reserved for model prisoners . Once a year , they go to the state fair ""]"
44- PRISON SUPERVISOR ,"[45, ' Listen to me now . If you get lost from your group , you come back to the Red Cross Building and have your group leader paged . If you do not do this , we will assume you have escaped and have an escape outlook for you , okay ']"
45- BROWN ,"[138, ""  The older inmates were accompanied by prison supervisors and by younger minimum security inmates who often serve their prison sentences as health care interns . But using other prisoners to contribute to medical care wo n't do much to stem the rising costs . The expense of caring for the aging prison population will become staggering in the next century . But shocking as it may seem , prison can sometimes appear to be the best health care option for an old person who is alone and ca n't work or afford basic necessities . That 's           , he has served the longest prison sentence of any inmate in North Carolina . He entered prison in 1952 and has had no contact with anyone on the outside since then . The state has tried to parole him a few times , but he simply refuses to go . ""]"
46-Ms MARSH ,"[10, ' Putting people in institutions builds a protective shield around them ']"
"47- For the time that they 're here , we provide everything for them ","[154, ' their housing , their food , their clothing , their health care .BROWN  Especially their health care . It costs three times more to support an older inmate than a younger one , simply because of medical care . And that puts a big strain on the prison system and the taxpayer . For instance , when 69-year-old convicted murderer Howard King contracted gangrene , doctors at McCain tried to save his remaining leg , but were forced to amputate it . The cost of those procedures alone totaled almost $21,000 . Medical care is so expensive for some elderly people that a prison term seems a small price to pay           had an old gentleman from the mountains who came to prison to get a cataract removed from his eye . And the very year , he threw a brick through a department store window so that he could come back and get the other eye operated on . Little small misdemeanor crimes , but enough to get him incarcerated . ']"
48-Dr ROSEFIELD ,"[68, "" The prison systems need to have a nursing home-type facility . They ca n't just have a prison unit for old people . They 've got to have the medical care backup . And I think that every state is going to have to end up with one or two facilities that are essentially nursing homes .BROWN  One of the most painful tasks with geriatric inmates is preparing them for death . ""]"
49-Ms MOSS ,"[6, ' Hi , there . How was the afternoon ']"
50- BROWN ,"[14, '  Harold Taylor , a convicted murderer , has terminal cancer and wants to die at home . ']"
51-Ms MOSS ,"[47, "" Are you afraid you 're going to die before you get out . And you just want to go home           thinking about dying in here , Harold . Why . You do n't know . You feel like your time is running out and you want to get home before it does ""]"
52- BROWN ,"[74, ""  Shortly after 20/20 filmed this story , Harold 's wish was granted . He was released on mercy parole . He died three days later . Ironically , it may be easier to help elderly inmates die than to help them survive in the outside world . They are much less likely to find a job than their younger counterparts and their family and friends have frequently died or moved away . interviewing If you get out , where will you go . ""]"
53-Mr TAYLOR ,"[29, "" Live by myself . See , when you get a certain age , you do n't want nobody to be bossing you around .BROWN What would you do if you were out . ""]"
54-Mr HANNAH ,"[52, "" Well , I do n't know , about like I used to , I guess . Make liquor and apple brandy and start selling .BROWN But you would like to be free .           free . I can make over $2,000 a week making apple brandy and - or like old sugarhead liquor and sell it .BROWN Is that legal . ""]"
55-Mr HANNAH ,"[1, ' Huh ']"
56- BROWN ,"[3, ' Is that legal . ']"
57-Mr HANNAH ,"[68, "" Oh , it 's not legal . What they do n't know wo n't hurt them , though .BROWN It 's difficult to look at some of these older men , some of whom appear quite grandfatherly , without wondering what 's the point of keeping them in prison . Who are they likely to harm if we let them out . Do we need to punish them at this point in their lives , still . ""]"
58-Dr ROSEFIELD ,"[32, "" In some cases , we do n't . Sometimes , on the other hand , they need to be here . They were violent at home and they can get out , no structure , and be violent again ""]"
59-WALTERS,"[24, ' They do seem so lovable until you realize some of them are murderers . But there are longer mandatory sentences now , in many cases , right ']"
60- BROWN ,"[1, '           WALTERS ']"
61-:           WALTERS ,"[22, ' And more people are - and people are living longer . So what do you do . Are there facilities like this throughout the country ']"
62- BROWN ,"[62, "" Right now , there 's just a handful , literally a handful of facilities like McCain . Most prisons that have special programs to handle elderly inmates generally may set aside a wing to segregate the elderly prison population from the younger inmates . But that only happens in around 12 or 13 states . Most states have n't even begun to deal with this problem yet ""]"
63-WALTERS,"[56, "" And think of the money that it 's going to cost , I mean , dentures , wheelchairs . I mean , you 're really doing nursing home care .BROWN The debts are going to be astronomical and there are just a few specialists who are starting to look into this and nobody has an adequate solution to the problem yet ""]"
64-WALTERS,"[20, ' And when you see this , you realize how many problems there are . An aging population . Very interesting . Thank you , Bob ']"
65-DOWNS,"[36, "" Next , the practical jokers           media . Lynn Sherr has the new merry pranksters . And later , watch years disappear with a chemical peel . Watch customers ' wallets get thin and watch doctors watch the money roll . John Stossel reports ""]"
66- Commercial break The Joker WALTERS ,"[92, ' Do you ever wish some of us in the media would get our comeuppance . Well , last week , it happened to some of our colleagues , not just in the New York media , but around the nation , even overseas . The ingredients for a hoodwink were a lottery jackpot of $35 million , a convincing actress and some very carefully laid plans . But the story that Lynn Sherr tells goes beyond a page one con job . She found that the master joker behind it all has quite a record of duping those who should know better ']"
67- LYNN SHERR ,"[17, '  His name is Alan Abel , a name many people in the news business would like to forget ']"
68- TV ANNOUNCER ,"[30, "" You 're watching WIXT , Central New York Nine . Now , the news team . 1st           for an aspiring actress who claimed to be the winner of New York 's $35 million lottery ""]"
"69- JOEL DALY , WLS-TV , Chicago ","[22, "" In New York , the woman who claims she won that state 's $35 million lottery has been exposed - 2nd NEWSCASTER , WISN-TV , Milwaukee ""]"
"70-: In New York , the woman who claims she won that state 's $35 million lottery has been exposed - 2nd NEWSCASTER , WISN-TV , Milwaukee ","[13, "" The sad truth is you ca n't believe everything you hear or read ""]"
71-SHERR,"[70, '  Not is Alan Abel is behind it , most recently , with a journalistic hoax that was so successful it tricked a surprising percentage of the press corps . When this woman threw a party celebrating her good fortune as the sole winner of the $35 million New York State Lottery , reporters and TV crews came , too . And millions in New York City saw these pictures on TV . Her reaction made perfect copy ']"
"72- LEE CHIRILLO , Actress ","[18, "" as  Charlie Taylor  I saw the ticket and I ca n't believe it . I 'm still in shock ""]"
73-SHERR,"[90, ""  As it turns out , she was good copy because her lines had been carefully scripted . A           n't even bother to confirm her phony winning lottery ticket . So they did n't realize that the woman who called herself Charlie Taylor was actually Lee Chirillo , a 30-year-old actress who has teamed up with her buddies before to pull the wool over the eyes of journalists . How did they do it . We asked the gang Abel calls his  Merry Pranksters  to let us in on some of their secrets . Everyone had a role ""]"
"74- PAUL HIATT , Actor ","[23, ' Well , I went down to the Reservation Desk and I said ,  Are you aware the $35 million lottery winner is in room 450 ']"
75-  SHERR ,"[17, '  The idea was to create an aura of excitement . Alan Abel , author and lecturer , was the mastermind ']"
"76- ALAN ABEL , Prankster ","[59, "" I think the best ploy - and I 'll tell you what bothered me . I was very concerned about when we threw 12 one-dollar bills out the windoww . Now , we were on the fourth floor and it was windy out there . And Paul           in the street . Did you see that man in the van stop and pick up a dollar . ""]"
77-Mr HIATT ,"[4, ' Yes , indeed , I did . ']"
78-Mr ABEL ,"[4, ' Oh , it was beautiful . ']"
79-Ms CHIRILLO ,"[7, "" He did . I did n't see that ""]"
80-SHERR,"[15, '  Abel , hiding in the hotel bedroom , even had some last minute advice for his star . ']"
81-Ms CHIRILLO ,"[58, "" When I first came into the room , did you see I was all dressed up . And Alan says ,  No , no . You 're all wrong , you 're all wrong . I want you to look like a wreck . Put a hole in your stocking , mess your hair up . Terrible . Do n't be so dressed up . Get rid of the earrings .  ""]"
82-Mr ABEL ,"[16, ' You were party-perfect . I mean , what do you think , you were going to a cocktail party ']"
83- SHERR ,"[11, ""  They 'd carefully selected the location to insure good news coverage . ""]"
84-Mr ABEL ,"[80, "" Well , the reason we           easy access to those television crews so they could run back to their stations quickly if they had to , to use the stairs rather than the elevator . Now , this is one - when we plan our next escapade , we have to include all of these factors . We have to make it easy for the press to write their stories and if they do n't back to their assignment desks quickly , there 's going to be a problem ""]"
85-SHERR,"[146, "" voice- over You might wonder why any adult would want to waste his time over the past 25 years planning such adolescence , especially if he 's a mature 62 years old . Well , Abel insists he does it all strictly for laughs . Watching Abel leave his home in Connecticut on his way to work looks a little like a joke itself , casually strolling through woods and underbrush to get to his office which just happens to be a bright red 50-ton railroad caboose parked in his back yard . He uses it as an escape hatch and calls it his  dream machine           under the best of circumstances , that Abel dreams up many of his hoaxes , writing out his plans for the future , scheming his next caper and fighting to change what he calls an unjust world . interviewing The lottery . Why did you decide to do the lottery scam . ""]"
86-Mr ABEL ,"[96, "" Well , I 've always objected to the lottery per se . I think it 's kind of a scam because it offers all this money and then if you win the money , you do n't get the money , you know . They put the principal in the bank and pay you the interest and they dole it out over 20 years . And also the first prize may be $10 million , but the second prize , if you miss the sixth number by one digit , is like a few hundred . They give you peanuts . The disparity in this is unfair ""]"
87-SHERR,"[17, ' When you set about to do one of your - what do you call them . Hoaxes . Tricks . Fraud . ']"
88-Mr ABEL ,"[49, "" Oh , no           no money changes hands . There 's no intent to deceive anyone of any funds or anything tangible that could be a violation of the law . The intent is to amuse , to provoke , to give people a healthy kick in the intellect and make them laugh a bit ""]"
89-SHERR,"[22, ""  Abel 's first major success as hoaxter came a few decades ago when he created the Society for Indecency to Naked Animals ""]"
90- You may recall its platform ,"[16, ' put pants on dogs , cats and other animals . In reality , it was a fight against censorship . ']"
91-Mr ABEL ,"[90, "" There are moral maniacs out there who want to put , oh , censorship on everything , on books , on records , on films . They want to tell you or me what we should read , hear and see and that 's wrong , absolutely wrong . Where will they stop . They wo n't . They 're liable to go out now and put pants on telephone poles and call them phallic symbols , right . So I say ,  All right           's do an allegorical satire . We 'll put Bermuda shorts on horses . A nude horse is a rude horse ""]"
92-  SHERR ,"[43, ""  Can you imagine anyone taking him seriously . That 's what they did another time , too , when Abel put a hood on his head and called himself  Omar , the Beggar ,  head of a school to teach other aspiring panhandlers how to make a living . ""]"
93-Mr ABEL ,"[40, "" as Omar the Beggar You got to make the pitch . Remember , you got two , three , four , five seconds , that 's all . Get up to the guy , touch him on the sleeve , make your pitch . Be polite , say ,  Pardon me , sir ""]"
94-  SHERR ,"[17, '  Once again , the media came running , unaware they were filming Abel and more of his Merry Pranksters . ']"
95-Mr ABEL ,"[12, ' as Omar Write down ,  manners , manners , manners .  You got to be polite . ']"
96-Mr ABEL ,"[71, "" This was a subtle protest about the           We live in the greatest country in the world with the capacity to put men on the moon and yet , we ca n't help our homeless . We ca n't find homes for them . We ca n't get social workers to solve their problems . What 's wrong . Then teach those homeless to beg professionally . Send them out there so they can earn $1,000 a week ""]"
97- 1st PRANKSTER ,"[8, ' Could you by any chance spare a nickel ']"
98- SHERR ,"[46, ""  The victims this time were from Canadian TV . They produced this perfectly serious report . But the homeless problem was so timely , many U.S. journalists fell for it , too . By the way , Omar 's School for Beggars is still listed in the New York City phone book ""]"
99- 2nd PRANKSTER ,"[11, ' I would really appreciate whatever you could - whatever you could afford ']"
100-SHERR,"[37, ""  The  beggars ,  of course , were Abel 's actors . He says he 's got a Rolodex full of people worldwide who want to play games and he surprised us by claiming           were engineered by some of his proteges . ""]"
101-Mr ABEL ,"[45, ' So we sent them the plans for creating a UFO , which was a large weather balloon filled with helium . It had a tape loop that played back the theme from Twilight Zone . We had pencil flashlights - red , green and blue - that turned on and off ']"
102-SHERR,"[74, ""  Do n't forget , Abel is the same guy who ran his own obituary in The New York Times , who ran his own wife , Jeannie , for president of the United States , as  Yetta Bronstein , Housewife .  And when he is n't driving assignment editors to distraction , he 's teaching a whole new generation of pranksters how to get along . One of his favorite ploys . A way to get himself a three-seater on a crowded cross-country airplane . ""]"
103-Mr ABEL ,"[164, "" I get on the plane and I sit down in a rear window seat . I get on as soon as I can and the first thing I do is put this string in my mouth .           sit next to me who are assigned to that seat and they 're usually a tractor salesman or an embalmer , you know , and I 'm not going to want to talk to these people all the way to California . And they say hello and they ignore the string , but they begin to get a little concerned about this string here . What will happen if they pull the string or I pull it . Now , we start to take off and everybody on the plane is looking around at the stranger with the string . As we get to our cruising altitude , it is possible to take off your seat belt and change seats , which is what they do because there 's something about a stranger with a string that discourages friendship ""]"
104-SHERR,"[68, ""  When we left Abel , he was at it again , plotting a new way to raise cain . For him , it 's a way to remember we should n't take ourselves so seriously . But for many of his victims , it 's an embarrassment they 'd rather           , anyway . Lynn , as a journalist , what would you say is our best safeguard , as journalists , against being taken in by a hoaxter like this ""]"
105- SHERR ,"[50, "" Well , Hugh , we are very vulnerable . And you know , lots of people out there are trying to fool us , even the United States government on occasion . And the idea is we should not be so gullible . Alan Abel 's advice is whatever you hear or see , check it out thoroughly ""]"
106-DOWNS,"[3, ' Check it out ']"
107-SHERR,"[20, "" Look between the lines . And he says if something seems too good to be true , it probably is n't true ""]"
108-DOWNS,"[7, "" Well , what 's in it for him ""]"
109- SHERR ,"[35, "" Well , you know , it 's true . He does like to make people laugh . But in fact , he does speeches and he writes books and every time one of these things happens , his fee goes up ""]"
110-DOWNS,"[4, ' Great . Thank you , Lynn ']"
111-WALTERS,"[35, "" Next , Fountain of Youth in a bottle is what some call           are impressive , but sometimes risky . Before and after pictures tell one story . This man 's credentials tell quite another .  Goodbye Wrinkles ,  right after this ""]"
112- Commercial break Goodbye Wrinkles DOWNS ,"[7, "" Who does n't want to look younger ""]"
113- WALTERS ,"[2, ' Yeah . Yeah ']"
114-DOWNS,"[72, "" You do n't need to . But who wants to paint their face with acid . Ouch . A chemical peel does n't sound like something your face would like and some faces do n't . But the procedure has made thousands of people look younger and earn some doctors and practitioners a lot of money , big money . John Stossel 's report covers all of these and them some . Do the years disappear . See for yourself ""]"
115- 1st CHEMICAL PEEL PATIENT ,"[26, "" I can look at myself in the mirror and not see an ugly old lady . And I think that 's the great feeling in the world ""]"
116- JOHN STOSSEL ,"[34, '  She gets that feeling from a procedure called a chemical peel . A doctor swabs on acid that burns off the           face with a paper mask to help the acid eat deeper into the skin ']"
117- 2nd CHEMICAL PEEL PATIENT ,"[21, "" It hurt a little bit one day , but you know , it 's just like having a baby . You forget about it ""]"
118-STOSSEL,"[18, '  Two days later , that mask comes off and a mask of powder is applied to the burned skin ']"
119- 3rd CHEMICAL PEEL PATIENT ,"[33, "" When a woman looks in the mirror and you 're my age , it 's frightening . But it 's sure nice when you feel like you look good and I know I look good ""]"
120-STOSSEL,"[29, '  Seven days into the procedure , that crusty mask gets wiped off and as the new skin appears underneath the scabs , it looks smoother than it did before the peel ']"
121- 4th CHEMICAL PEEL PATIENT ,"[44, "" You know , I did n't want to be 16 years old . You know , at 69 , you do n't want to go back to 16 , but I thought a couple of years off wo n't hurt me and they took them off           I love me ""]"
122-STOSSEL,"[141, ""  I can see why they 're happy with the procedure . Look at the difference in their  before  and  after  pictures . They do look younger now . Now , although the peel is sometimes advertised as a  non-surgical facelift ,  that 's misleading . It 's not a facelift . A facelift removes even more wrinkles because the doctor makes incisions and pulls the skin tighter , leaving it taut and smoother . For some patients , doctors might recommend dermabrasion , which uses wire brushes to smooth out wrinkles . A peel really does the same thing , except instead of brushing away the top layers , the doctor uses phenol acid to burn away the skin . In addition to diminishing wrinkles , the acid may also peel away superficial skin cancers . Tens of thousands of peels have been done , the great majority of them trouble-free . But lately , doctors have been seeing more problems ""]"
123- 5th CHEMICAL PEEL PATIENT ,"[27, ' The problem is that I got to put on all this God damned           to go out of the house because I have this line under my face ']"
124-STOSSEL,"[29, "" Can you show me the line . Can you show the camera . On your neck . It looks a little bit like you 're wearing a mask with the string underneath ""]"
125- 5th CHEMICAL PEEL PATIENT ,"[20, "" Yeah , a permanent mask which gets worse and worse , I mean darker and darker as I 'm in the sun ""]"
126-STOSSEL,"[50, ""  Experts we talked to were surprised that she had a problem . Her skin 's too dark , they say . Peels are recommended only for fair-skinned people and her doctor should have known that . Brenda Ordoyne of New Orleans has much more serious problems . The acid left her with permanently blurred vision ""]"
"127- BRENDA ORDOYNE , Chemical Peel Patient ","[37, ' It burned holes in the lids of my eye and under all this area was open holes . By having this , the chemical go through to the cornea and it damaged two to three layers of my cornea ']"
128-STOSSEL,"[23, ""  Ann Deutsch of Florida has similar problems .DOCTOR About 75           this side . Unfortunately , these do n't seem to have faded much with time ""]"
"129- ANN DEUTSCH , Chemical Peel Patient ","[7, "" That 's not very encouraging , is it ""]"
130- DOCTOR ,"[10, ' No . Unfortunately , I wish I had better news for you . ']"
131-Ms DEUTSCH ,"[5, ' And this will never change ']"
132- DOCTOR ,"[15, "" I think you 'll be left with these scars for the rest of your life ""]"
133-STOSSEL,"[8, '  Finally , some women have died from chemical peels . ']"
"134-Dr HAROLD BRODY , Dermatologist ","[57, "" Death and loss of vision are complications that should have gone out with lay peelers in the 1930 's and ' 40 's . There is no excuse for anyone dying from a chemical peel or losing any vision from a chemical peel properly performed by a dermatologist , plastic surgeon or ear , nose and throat cosmetic physician . No excuse ""]"
135-STOSSEL,"[113, ""  .Dr Brody speaks for the American Society of Dermatologic Surgery . His point is that for the past 20 years , properly trained doctors have done tens of thousands of facial peels with few problems .           , is that lately everyone seems to be getting into the business . This woman had her face peeled not by a skin specialist , but by a general practitioner . This woman 's peel was done by and allergist , this woman 's by a gynecologist . There are even ads run by psychiatrists. on camera Now , why would a psychiatrist or a gynecologist want to operate on someone 's face . It 's not something they learn in medical school . Well , one reason is money ""]"
136- COMMERCIAL ANNOUNCER ,"[19, ' I want to show you a miracle , a treatment that has been guarded and used by celebrities for years ']"
137-STOSSEL,"[10, '  Promoters have begun selling peels under a new made-up name ']"
138-:  Promoters have begun selling peels under a new made-up name ,"[1, ' exodermology ']"
139- COMMERCIAL ANNOUNCER ,"[9, ' Exodermology is a procedure performed only by licensed physicians ']"
140-STOSSEL,"[45, ""  This ad is a pitch to consumers . To doctors , letters like this one are sent out by the thousands , offering earnings of $100,000 to $400,000 a year . This dermatologist got the letter . He 'd been doing peels for a long time . He           exodermology sounded different . ""]"
"141-Dr STEVEN VICTOR , Dermatologist ","[63, "" So I called them up to see if it was a new technique to help patients look younger and get rid of the skin cancers . I called them up . They said it was something I did n't know anything about . I told them I 'm a dermatologist , I do cosmetic surgery . He invited me down and I went down there with my wife ""]"
142-STOSSEL,"[4, ' He paid your way . ']"
143-Dr VICTOR ,"[251, "" He paid my airfare , he paid my hotel . He picked me up in a very nice , pretty , white Rolls Royce . And I actually went to his house to meet these ladies who were all there looking very pretty , all dressed up to talk to me . And I kept saying to him ,  Is this a phenol chemical peel .  He said ,  No , not really .  I said ,  Well , what is it .  He said ,  When you pay , we 'll teach it to you .           he would have spent a week at the promoter 's elegant house in Florida . They would have told him ,  Yes , it is a chemical peel similar to what you 've been doing for years , but we can teach you to do it better and we can show you how to advertise the procedure .  Courses in exodermology also teach the elegant way to do after care . For years , doctors have done peels and let the patients go home the same day .  No ,  say these doctors ,  put the patient in a wheelchair and take her by limousine to spend a week at a motel or a nursing home .  It certainly makes it easier to justify the $4,000 that this Phoenix doctor charges . Now , you could say ,  If the patient 's willing to pay , what 's the problem .  Well , we videotaped the peel that was done on this woman . Her doctor 's an ear , nose , and throat specialist with an established practice , but he took           school , peels were n't emphasized . His patient had great expectations ""]"
"144- SUE MANK , Chemical Peel Patient ","[39, "" First of all , I believe the fine lines around my mouth will disappear . I expect that . I expect my eyes to open a little more . The crows ' feet in here and then , of course , the smile line through here ""]"
145-STOSSEL,"[27, '  And sure enough , just nine days later , she does look younger . A quick course in peeling does seem to yield good results . So why all the criticism . ']"
146-Dr VICTOR ,"[101, "" It 's like me calling a gynecologist and saying ,  Look , I want to deliver babies . Can I get a crash course in three days , delivering babies .  And going out and delivering babies . You spend three years training in dermatology or if you 're a plastic surgeon , you spend five years learning cosmetic surgery . And we 've seen a lot of cases , we 've seen good and bad . We know how to handle problems . This is           videotape to three different experts in dermatology and plastic surgery , all three said doing it this way could kill a patient . Serious mistakes are being made . ""]"
147-Dr BRODY ,"[36, "" All they 're monitoring here is the pulse rate and the blood pressure . And phenol is a recognized chemical that causes heart irregularities , so a blood pressure cuff and a pulse monitor are just not enough ""]"
148-STOSSEL,"[53, '  The experts also said the applicator the doctor uses is too big . It would put too much phenol into the body too quickly and that could hurt your liver or kidneys . They said the eyes should never be taped because the eyelids are too thick . Taping might push acid through to the eye . ']"
149-Dr BRODY ,"[20, ' And there have been several people who have loss of vision from application all the way down to the eyelash ']"
150-STOSSEL,"[7, ' Of course , this patient had no problem . ']"
151-Dr BRODY ,"[10, ' Well , I would say this patient just beat the odds ']"
